,ori,,,
1582891716531,137.77322,-14.678046,-1.0003337,DATA
1582891716553,137.78497,-14.9208355,-1.0039037,DATA
1582891716572,137.82358,-14.654946,-1.0186769,DATA
1582891716589,137.89917,-14.240828,-1.1002733,DATA
1582891716612,137.87808,-14.570884,-1.0022612,DATA
1582891716628,137.87329,-14.75055,-1.0387472,DATA
1582891716647,137.83905,-14.576077,-1.0139266,DATA
1582891716674,137.8562,-14.097333,-1.0761613,DATA
1582891716711,137.79898,-14.358835,-1.0044376,DATA
1582891716711,137.83633,-15.077381,-0.86660135,DATA
1582891716723,137.90027,-14.89806,-0.95966846,DATA
1582891716742,138.0232,-13.891145,-1.0624145,DATA
1582891716764,138.03326,-14.14955,-1.063198,DATA
1582891716781,137.99365,-14.840212,-0.9440112,DATA
1582891716800,137.99652,-14.9272175,-1.0022914,DATA
1582891716820,138.0964,-14.325678,-1.1696612,DATA
1582891716839,138.12646,-14.182353,-1.1401448,DATA
1582891716875,138.12787,-14.451215,-1.1572874,DATA
1582891716883,138.04218,-14.861795,-1.0852052,DATA
1582891716895,138.01147,-14.523634,-1.1482517,DATA
1582891716914,137.9935,-14.357058,-1.1560614,DATA
1582891716933,138.03046,-14.54998,-1.0976297,DATA
1582891716954,138.08466,-14.833918,-1.113302,DATA
1582891716973,138.2102,-14.475915,-1.1991794,DATA
1582891716997,138.30002,-14.420259,-1.2651272,DATA
1582891717012,138.37134,-14.542628,-1.3025763,DATA
1582891717031,138.36456,-14.819972,-1.3519361,DATA
1582891717058,138.40631,-14.547765,-1.3543857,DATA
1582891717072,138.4112,-14.521071,-1.4714575,DATA
1582891717096,138.43365,-14.521226,-1.4533073,DATA
1582891717106,138.3656,-14.768952,-1.4503531,DATA
1582891717126,138.35101,-14.503068,-1.4351814,DATA
1582891717145,138.27808,-14.481929,-1.4659183,DATA
1582891717165,138.22592,-14.683372,-1.4167396,DATA
1582891717188,138.12311,-14.709094,-1.3413945,DATA
1582891717205,138.09393,-14.65502,-1.3192339,DATA
1582891717244,138.06885,-14.311022,-1.3784207,DATA
1582891717245,138.03998,-14.76183,-1.240894,DATA
1582891717258,138.05402,-14.807888,-1.3495615,DATA
1582891717280,138.06873,-14.546769,-1.3503788,DATA
1582891717302,138.11676,-14.482406,-1.2873795,DATA
1582891717316,138.07587,-14.76495,-1.4699154,DATA
1582891717336,138.0299,-15.076254,-1.1705412,DATA
1582891717358,138.01923,-14.586731,-1.4638586,DATA
1582891717377,137.93484,-15.197251,-1.0999559,DATA
1582891717396,137.9466,-14.714186,-1.4192716,DATA
