,ori,,
1582892416341,193.40927,-19.225044,-7.2632504
1582892416358,194.09773,-18.80215,-5.6147113
1582892416378,193.87837,-19.225368,-6.2240634
1582892416397,193.76631,-17.339592,-6.577824
1582892416416,193.65315,-16.891163,-6.965841
1582892416438,193.56737,-18.219255,-7.0872784
1582892416455,193.45218,-18.92424,-7.409552
1582892416474,193.42976,-17.553452,-7.5914702
1582892416494,193.27675,-16.95056,-8.095068
1582892416517,193.25818,-17.960997,-8.007527
1582892416536,193.13846,-18.908005,-8.284317
1582892416574,193.15309,-17.782701,-8.385481
1582892416574,193.07104,-17.057472,-8.753994
1582892416588,193.12537,-17.767149,-8.511033
1582892416606,193.04144,-18.710493,-8.698118
1582892416630,193.04378,-17.997458,-8.799196
1582892416645,193.05177,-17.212652,-8.981407
1582892416665,193.22015,-17.655674,-8.546035
1582892416686,193.14877,-18.552683,-8.745977
1582892416705,193.24307,-18.162971,-8.594797
1582892416729,193.2813,-17.47864,-8.680406
1582892416755,193.38834,-17.724924,-8.340818
1582892416760,193.27603,-18.699633,-8.575761
1582892416783,193.30972,-18.27604,-8.521989
1582892416798,193.2227,-17.568966,-8.813487
1582892416818,193.36232,-17.801718,-8.357785
1582892416837,193.29468,-18.643839,-8.470192
1582892416857,193.36957,-18.389215,-8.258804
1582892416876,193.42809,-17.842684,-8.203248
1582892416898,193.56657,-17.93161,-7.815731
1582892416935,193.50337,-18.783674,-7.943527
1582892416943,193.6391,-18.556759,-7.6116815
1582892416954,193.66995,-17.894533,-7.647308
1582892416972,193.84889,-17.925758,-7.1535716
1582892416991,193.79105,-18.940428,-7.2834806
1582892417010,193.87329,-18.68388,-7.0915728
1582892417029,193.88695,-18.000647,-7.124177
1582892417050,194.04282,-17.952719,-6.7469506
1582892417068,193.97142,-18.850636,-6.927971
1582892417088,194.06213,-18.750685,-6.675987
1582892417116,194.06105,-18.11781,-6.802776
1582892417128,194.1773,-18.032724,-6.4687815
1582892417145,194.14766,-18.89,-6.5472555
1582892417163,194.23135,-18.805676,-6.3190637
1582892417183,194.25438,-18.15004,-6.366886
1582892417202,194.36113,-18.098085,-6.036434
1582892417222,194.31592,-18.764393,-6.1868615
1582892417244,194.41237,-18.776308,-5.903451
1582892417260,194.43251,-18.107695,-5.912237
1582892417284,194.55707,-18.020535,-5.609686
1582892417316,194.5121,-18.582785,-5.7302685
1582892417318,194.62726,-18.527464,-5.487216
1582892417341,194.59482,-17.955067,-5.6190743
1582892417355,194.65143,-17.96926,-5.3953238
1582892417373,194.64342,-18.528297,-5.4408884
1582892417394,194.70638,-18.453754,-5.2624626
1582892417414,194.67433,-17.876963,-5.3471575
1582892417433,194.76344,-17.881495,-5.092713
1582892417452,194.70262,-18.464043,-5.236087
1582892417473,194.78166,-18.410292,-5.0575657
1582892417502,194.77856,-17.800625,-5.1390376
1582892417509,194.85114,-17.681906,-4.95642
1582892417529,194.81285,-18.34398,-5.082842
1582892417546,194.89291,-18.303322,-4.924628
1582892417566,194.89615,-17.662487,-5.0024743
1582892417586,194.97522,-17.555794,-4.828266
1582892417604,194.92871,-18.19098,-5.007514
1582892417624,195.00943,-18.217993,-4.861779
1582892417645,195.00005,-17.581373,-4.9760704
1582892417665,195.0305,-17.359602,-4.8965993
1582892417681,194.97371,-18.04119,-5.057982
1582892417703,195.02522,-18.09037,-4.9646354
1582892417720,195.02536,-17.470604,-5.0438957
1582892417738,195.08223,-17.313234,-4.925788
1582892417756,195.03883,-17.901817,-5.0855627
1582892417776,195.11685,-17.95527,-4.9477987
1582892417796,195.1231,-17.431374,-5.066476
1582892417816,195.18112,-17.196312,-4.9843574
1582892417838,195.14326,-17.76175,-5.16033
1582892417857,195.2328,-17.809832,-5.016065
1582892417882,195.23315,-17.313301,-5.1525354
1582892417892,195.28094,-17.128756,-5.0549865
1582892417910,195.19826,-17.66297,-5.268446
1582892417934,195.24849,-17.659437,-5.0862136
1582892417950,195.20564,-17.216331,-5.2366023
1582892417968,195.21704,-17.079473,-5.1498213
1582892417988,195.17764,-17.637247,-5.264433
1582892418007,195.23485,-17.584791,-5.124034
1582892418026,195.25882,-17.178448,-5.1438947
1582892418047,195.30627,-17.115377,-5.0456114
1582892418065,195.2665,-17.6584,-5.1984897
1582892418091,195.33861,-17.531528,-5.0345845
1582892418103,195.32674,-17.156477,-5.1604095
1582892418124,195.35695,-17.161558,-5.0417666
1582892418144,195.41533,-17.770224,-5.0154915
1582892418160,195.46162,-17.376543,-5.0504074
1582892418179,195.4452,-17.071213,-5.0733347
1582892418198,195.4404,-17.360071,-4.8880963
1582892418219,195.32224,-17.786398,-5.113628
1582892418241,195.3546,-17.503386,-4.9538717
1582892418274,195.34947,-17.30627,-5.1417785
1582892418276,195.39903,-17.342604,-5.0256534
1582892418295,195.41391,-17.791037,-5.200761
1582892418314,195.46584,-17.666534,-5.2655277
1582892418338,195.61926,-17.42003,-5.154384
1582892418352,195.67914,-17.32013,-5.3861003
1582892418374,195.71967,-17.685211,-5.48799
1582892418391,195.73103,-17.682877,-5.5378013
1582892418411,195.6395,-17.32767,-5.697812
1582892418432,195.54678,-17.249222,-5.548236
1582892418457,195.3386,-17.863152,-5.769544
1582892418466,195.21054,-17.617012,-5.6578913
1582892418485,195.07957,-17.327072,-5.751051
1582892418506,195.01373,-17.476633,-5.571204
1582892418524,194.97502,-17.844069,-5.6326556
1582892418554,194.99022,-17.668608,-5.6142373
1582892418563,195.04858,-17.465008,-5.6902633
1582892418583,195.09964,-17.50879,-5.730572
1582892418601,195.13292,-17.79267,-5.8526464
1582892418624,195.15874,-17.587894,-5.9254055
1582892418655,195.1771,-17.402756,-6.014297
1582892418659,195.14534,-17.473255,-6.089501
1582892418677,195.11383,-17.71046,-6.119246
1582892418697,195.07178,-17.471203,-6.139004
1582892418717,195.04938,-17.327429,-6.140774
1582892418741,195.00648,-17.524117,-6.1545687
1582892418758,195.00735,-17.671055,-6.12186
1582892418776,194.98343,-17.41008,-6.1432447
1582892418794,195.01265,-17.302803,-6.0993476
1582892418818,194.99135,-17.544704,-6.145176
1582892418847,195.02264,-17.593899,-6.0661564
1582892418849,195.01105,-17.296934,-6.127723
1582892418879,195.03325,-17.129755,-6.0383534
1582892418898,195.01602,-17.585587,-6.0630755
1582892418915,195.04356,-17.578041,-5.9410806
1582892418927,195.04695,-17.314762,-5.9528694
1582892418945,195.07603,-17.126406,-5.850413
1582892418964,195.04303,-17.729164,-5.9276066
1582892418983,195.04115,-17.555105,-5.862062
1582892419004,195.01772,-17.355955,-5.949695
1582892419022,194.9805,-17.275946,-6.018899
1582892419041,194.98175,-17.575642,-6.0083485
1582892419060,194.96439,-17.46309,-6.116969
1582892419080,194.9709,-17.07321,-6.1113825
1582892419100,195.01222,-17.569937,-6.0087514
1582892419126,194.95625,-17.509533,-6.2352448
1582892419139,194.96999,-17.368866,-6.149671
1582892419163,195.03455,-17.370937,-6.0637326
1582892419175,194.9817,-17.497093,-6.2551827
1582892419199,194.99973,-17.370955,-6.2256303
1582892419234,194.98972,-17.423584,-6.301887
1582892419235,194.9824,-17.455515,-6.316519
1582892419253,195.02484,-17.64937,-6.1473203
1582892419272,195.02652,-17.67839,-6.202572
1582892419292,195.11696,-17.710451,-6.0289464
1582892419311,195.17572,-17.442175,-6.0876303
1582892419337,195.21764,-17.85971,-6.0614734
1582892419361,195.2524,-17.344503,-6.2149315
1582892419368,195.26646,-17.766834,-6.2644367
1582892419387,195.2531,-17.31743,-6.5578523
1582892419409,195.26743,-18.002605,-6.601155
1582892419425,195.30122,-17.220472,-6.9601016
1582892419444,195.34505,-17.694723,-7.0030293
1582892419464,195.41203,-17.302233,-7.347776
1582892419483,195.4321,-17.816591,-7.453238
1582892419503,195.50166,-17.334602,-7.731992
1582892419530,195.47588,-17.737818,-7.8536053
1582892419541,195.4961,-17.202433,-8.098905
1582892419564,195.40411,-17.809662,-8.201392
1582892419580,195.38205,-17.126318,-8.396501
1582892419608,195.27475,-17.68673,-8.425016
1582892419617,195.2289,-17.034359,-8.595995
1582892419635,195.10052,-17.76592,-8.625814
1582892419656,195.06956,-17.058313,-8.7109785
1582892419676,194.93076,-17.72909,-8.757479
1582892419695,194.95302,-16.961693,-8.729241
1582892419715,194.84743,-17.810219,-8.783266
1582892419747,194.9423,-16.995405,-8.743344
1582892419765,194.88367,-17.897076,-8.781401
1582892419771,195.01071,-17.110504,-8.6844225
1582892419791,194.99258,-17.79978,-8.626061
1582892419809,195.13402,-17.133184,-8.4544
1582892419828,195.11723,-18.037539,-8.454588
1582892419848,195.31775,-17.31786,-8.216733
1582892419867,195.36638,-18.078655,-8.239209
1582892419887,195.6018,-17.383245,-7.9400983
1582892419908,195.64355,-18.24225,-7.984818
1582892419932,195.86633,-17.551159,-7.61705
1582892419945,195.90019,-18.511768,-7.697632
1582892419969,196.13043,-17.680855,-7.365017
1582892420004,196.20042,-18.52357,-7.3539467
